ID,Role,gender_id,birth_year,generation,race_eth,nationality,rel_status,fam_origin,household,region,num_lang,curious,conscient,extravert,agreeable,confident
30,0,Female,1988,Millenial,Asian,China,More than 1 year,4,6,Rural,2,6,7,5,8,6
45,1,Female,1988,Millenial,Asian,China,More than 1 year,5,2,Urban,3,4,5,3,5,4
64,1,Female,1988,Millenial,Latinx,United States,Not in a relationship,7,4,Suburban,2,5,6,2,5,3
93,1,Female,1988,Millenial,White,Australia,More than 1 year,5,2,Suburban,1,4,6,2,4,4
95,1,Male,1988,Millenial,Asian,China,More than 1 year,3,2,Urban,2,5,5,4,5,5
98,1,Male,1988,Millenial,Asian,China,More than 1 year,3,3,Suburban,2,5,6,3,3,4
99,1,Female,1988,Millenial,Asian,China,More than 1 year,4,2,Urban,2,4,5,4,4,5
100,1,Male,1988,Millenial,Asian,China,More than 1 year,4,2,Suburban,2,6,5,3,4,4
101,1,Female,1988,Millenial,Asian,China,More than 1 year,3,3,Suburban,2,4,5,5,3,6
102,1,Male,1988,Millenial,Asian,China,More than 1 year,4,4,Suburban,3,4,5,2,5,3
103,1,Male,1988,Millenial,Asian,China,More than 1 year,3,2,Urban,2,5,5,3,3,5
11,0,Male,1989,Millenial,Asian,China,More than 1 year,3,4,Urban,2,8,8,9,6,6
13,0,Male,1989,Millenial,Asian,China,More than 1 year,5,5,Suburban,2,8,8,6,9,6
16,0,Male,1989,Millenial,Asian,China,More than 1 year,3,5,Urban,2,9,9,9,9,9
22,0,Female,1989,Millenial,Asian,NA,More than 1 year,3,2,Suburban,2,5,8,9,9,7
26,0,Female,1989,Millenial,Asian,China,More than 1 year,3,3,Suburban,2,8,10,5,8,7
27,0,Female,1989,Millenial,Asian,United States,More than 1 year,4,2,Urban,2,8,2,4,8,7
40,0,Male,1989,Millenial,Asian,India,More than 1 year,10,2,Urban,2,6,7,7,8,7
48,1,Female,1989,Millenial,Black,United States,More than 1 year,9,3,Suburban,1,6,5,3,5,5
74,1,Female,1989,Millenial,Asian,China,More than 1 year,3,3,Urban,2,5,5,4,6,4
90,1,Male,1989,Millenial,Asian,China,More than 1 year,6,3,Suburban,2,NA,6,3,4,5
96,1,Female,1989,Millenial,Asian,China,More than 1 year,3,2,Urban,2,6,6,3,5,5
7,0,Male,1990,Millenial,White,United States,More than 1 year,4,2,Urban,2,8,8,4,3,3
44,1,Female,1990,Millenial,Asian,United States,More than 1 year,3,3,Urban,3,6,4,4,4,3
70,1,Male,1990,Millenial,Asian,United States,More than 1 year,4,3,Urban,1,5,6,3,5,3
35,0,Male,1991,Millenial,Asian,China,Less than 1 year,3,1,Suburban,3,9,9,7,8,9
36,0,Female,1992,Millenial,Asian,China,Not in a relationship,4,2,Urban,3,8,9,5,8,7
42,0,Male,1992,Millenial,Asian,Republic of Korea,More than 1 year,3,1,Urban,2,8,5,6,7,7
80,1,Female,1992,Millenial,White,Greece,More than 1 year,5,1,Suburban,2,5,5,2,3,4
1,0,Female,1994,Millenial,Multi,United States,Not in a relationship,5,1,Urban,1,10,8,6,5,5
23,0,Male,1994,Millenial,Multi,United States,Not in a relationship,4,1,Urban,3,10,8,2,5,7
32,0,Male,1994,Millenial,Asian,China,Do not want to say,3,3,Urban,2,8,10,10,8,10
50,1,Female,1994,Millenial,White,United States,More than 1 year,5,2,Urban,2,5,3,6,3,5
2,0,Female,1995,Millenial,Multi,United States,Not in a relationship,4,3,Suburban,2,8,8,5,8,6
17,0,Female,1995,Millenial,White,United States,More than 1 year,6,1,Urban,1,10,5,3,4,9
31,0,Female,1995,Millenial,Asian,China,Not in a relationship,3,3,Urban,1,7,6,6,5,8
59,1,Male,1995,Millenial,Asian,India,Not in a relationship,3,4,Suburban,3,5,2,1,3,1
61,1,Female,1995,Millenial,White,Romania,Not in a relationship,4,4,Suburban,3,6,5,4,5,4
38,0,Male,1996,Millenial,White,NA,More than 1 year,4,2,Urban,2,9,5,2,6,7
4,0,Male,NA,,Asian,India,More than 1 year,3,NA,Urban,4,8,7,10,10,6
